Date,MovementFile,Variation,NumPasses,CompletedPasses,Accuracy,NumInterceptions,NumTackles,RoundDuration(s),AverageDistance(m)
5/13/2026 9:38:09 AM,movementData__5.13.2026 9.38.09 AM.csv,5,9,5,0.56,0,0,73,15.43
5/13/2026 5:27:05 PM,movementData__5.13.2026 5.27.05 PM.csv,5,3,0,0,0,1,25,2.02
5/13/2026 5:34:30 PM,movementData__5.13.2026 5.34.30 PM.csv,5,5,1,0.2,0,0,40,9.47
5/13/2026 5:35:13 PM,movementData__5.13.2026 5.35.13 PM.csv,5,4,0,0,0,0,31,9.78
5/13/2026 5:43:04 PM,movementData__5.13.2026 5.43.04 PM.csv,5,5,1,0.2,0,0,47,11.31
5/13/2026 5:43:42 PM,movementData__5.13.2026 5.43.42 PM.csv,5,4,0,0,0,0,30,8.53
5/13/2026 5:44:51 PM,movementData__5.13.2026 5.44.51 PM.csv,5,6,2,0.33,1,0,58,12.24
5/13/2026 5:53:28 PM,movementData__5.13.2026 5.53.28 PM.csv,5,3,0,0,0,2,41,3.6
5/13/2026 5:54:11 PM,movementData__5.13.2026 5.54.11 PM.csv,5,5,1,0.2,0,0,35,8.41
5/13/2026 8:04:16 PM,movementData__5.13.2026 8.04.16 PM.csv,5,5,1,0.2,0,2,55,9.85
5/13/2026 8:05:01 PM,movementData__5.13.2026 8.05.01 PM.csv,5,4,0,0,0,0,36,14.52
5/13/2026 8:05:17 PM,movementData__5.13.2026 8.05.17 PM.csv,5,1,0,0,1,0,6,24.59
5/13/2026 8:05:50 PM,movementData__5.13.2026 8.05.50 PM.csv,5,2,0,0,1,0,16,16.39
5/13/2026 8:06:56 PM,movementData__5.13.2026 8.06.56 PM.csv,5,4,0,0,0,1,35,14.26
