MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 5.35.13 PM.csv,1,2026-05-13 17:34:42,0.05077935,1.362075,14.51257,0.02311641,0.9990531,0.03345394,0.01547525,0.1655567,1.113958,14.21854,0.127934,0.9896618,0.06296086,-0.01544458,-0.09949838,0.9799712,14.35585,-0.08934938,0.9910349,-0.02596417,-0.09587707
movementData__5.13.2026 5.35.13 PM.csv,1,2026-05-13 17:34:44,0.06796967,1.383367,14.47519,-0.06000846,0.9779876,0.0822236,0.1821495,0.3629035,1.308171,13.98882,-0.08137149,0.9338978,-0.1589575,0.3097519,-0.0289342,0.9683477,14.36924,-0.4102511,0.9062793,-0.09752018,0.02901554
movementData__5.13.2026 5.35.13 PM.csv,1,2026-05-13 17:34:46,0.0780244,1.360191,14.5597,-0.03486891,0.9807708,0.01948578,0.191032,0.3843059,1.330787,14.1543,0.04538095,0.9614072,-0.03440356,0.2691711,0.004840977,0.9731169,14.42712,-0.348834,0.9281009,-0.07519621,0.1062499
movementData__5.13.2026 5.35.13 PM.csv,2,2026-05-13 17:34:51,0.08747894,1.35417,14.59558,0.02507929,0.9995387,0.01430037,0.009430669,0.1552529,1.21986,14.16912,0.05402261,0.9984885,0.006540955,0.007717863,-0.04437384,0.9853778,14.46572,-0.2424491,0.9693971,-0.01932207,-0.03338247
movementData__5.13.2026 5.35.13 PM.csv,2,2026-05-13 17:34:53,0.05865667,1.379568,14.485,-0.07133569,0.952883,0.06237617,0.2881569,0.4999437,1.321031,14.04457,-0.02739035,0.8845289,-0.1496109,0.4409932,-0.03545987,0.988499,14.34602,-0.4729348,0.8700021,-0.05512071,0.1280268
movementData__5.13.2026 5.35.13 PM.csv,2,2026-05-13 17:34:56,0.08977836,1.368152,14.60087,-0.008046072,0.9370561,0.07549819,0.3408244,0.394085,1.332609,14.22727,0.006679417,0.945924,0.0576844,0.3191485,0.01528759,0.9822393,14.43924,-0.352622,0.9086574,-0.07690305,0.2099654
movementData__5.13.2026 5.35.13 PM.csv,3,2026-05-13 17:34:59,0.06686445,1.356257,14.61198,0.01346233,0.9984276,0.02013262,0.05055618,0.1797095,1.185845,14.18899,0.07249636,0.9959778,-0.03722671,0.03723807,-0.05842464,0.9820617,14.45692,-0.2108105,0.9744757,-0.05590946,-0.05319988
movementData__5.13.2026 5.35.13 PM.csv,3,2026-05-13 17:35:01,0.08529352,1.351074,14.56527,-0.01348535,0.979117,-0.007295196,0.2027187,0.1753142,1.474595,14.79201,-0.2171208,0.3798482,0.860337,0.261523,0.03269592,0.9709622,14.39327,-0.2033637,0.9657138,-0.1133076,0.1148979
movementData__5.13.2026 5.35.13 PM.csv,3,2026-05-13 17:35:03,0.1030368,1.351333,14.58628,-0.00663434,0.95854,-0.01973077,0.2841969,0.4934037,1.173797,14.19968,-0.01244985,0.891279,-0.2668397,0.3664196,-0.006584303,1.015996,14.45831,-0.3780015,0.905975,-0.0395099,0.1864488
movementData__5.13.2026 5.35.13 PM.csv,4,2026-05-13 17:35:10,0.09533592,1.348949,14.54914,-0.02382476,0.9803455,0.02007962,0.1948128,0.3077248,1.351558,14.35347,0.08129116,0.9286749,0.3253055,0.1585275,-0.03834292,0.9742982,14.42462,-0.2344233,0.9659814,-0.08328951,-0.07062964
movementData__5.13.2026 5.35.13 PM.csv,4,2026-05-13 17:35:12,0.09845009,1.353499,14.50877,-0.04503055,0.9746485,-0.01977675,0.2182694,0.4154212,1.179938,14.07151,0.005325764,0.920095,-0.2304327,0.3166981,-0.0118124,1.008694,14.41982,-0.3646717,0.9244884,-0.01951996,0.1093378
