MovementFile,PlayNum,Timestamp,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftHandPosX,LeftHandPosY,LeftHandPosZ,LeftHandRotX,LeftHandRotY,LeftHandRotZ,LeftHandRotW,RightHandPosX,RightHandPosY,RightHandPosZ,RightHandRotX,RightHandRotY,RightHandRotZ,RightHandRotW
movementData__5.13.2026 9.38.09 AM.csv,1,2026-05-13 09:36:57,0.1753021,1.408901,13.87452,0.02445961,-0.9977975,0.06115253,-0.007882564,0.3021224,0.9256566,13.59732,-0.1065384,0.987213,-0.03536177,0.1131803,0.1086756,1.002597,13.58335,0.02701922,0.9925229,-0.1027459,0.0600962
movementData__5.13.2026 9.38.09 AM.csv,1,2026-05-13 09:36:59,-0.4891976,1.419133,14.82159,0.005678594,-0.9858401,-0.1211273,0.1158238,-0.3736494,1.007905,14.35874,-0.2119642,0.9720291,-0.09636662,-0.03072606,-0.7675136,1.417453,15.07293,0.213098,0.02673975,0.6356189,-0.7415274
movementData__5.13.2026 9.38.09 AM.csv,1,2026-05-13 09:37:01,-0.5058303,1.438894,16.09281,-0.005249688,-0.9891292,-0.1164939,0.0895827,-0.3864322,1.117671,15.67593,-0.1335185,0.9885896,0.04491958,0.05334436,-0.8275785,1.328049,15.93955,0.3286889,0.7963884,0.3550609,-0.362851
movementData__5.13.2026 9.38.09 AM.csv,2,2026-05-13 09:37:05,0.1117452,1.495078,13.97086,0.02691271,-0.9975114,-0.05556832,0.03404203,0.22688,1.027142,13.63631,-0.06360491,0.9968079,-0.02435002,0.04165921,-0.02150712,1.208519,13.64866,0.03374037,0.9960764,0.06809292,-0.04535196
movementData__5.13.2026 9.38.09 AM.csv,2,2026-05-13 09:37:07,0.401742,1.49566,15.22599,0.03386534,-0.9975414,-0.04807729,0.03811888,0.5036697,1.066408,14.84827,-0.1442775,0.9879217,-0.05626059,-0.005434386,0.04021975,1.374173,15.07141,0.05944996,0.8000177,0.3758217,-0.4638916
movementData__5.13.2026 9.38.09 AM.csv,2,2026-05-13 09:37:09,0.390725,1.503716,15.25237,0.03075493,-0.986585,-0.08095793,-0.138384,0.4776073,1.130477,14.85694,-0.08607279,0.9914553,0.09777811,0.006875541,0.0837373,1.367159,15.09178,0.1245752,0.8770912,0.3752885,-0.272673
movementData__5.13.2026 9.38.09 AM.csv,3,2026-05-13 09:37:13,0.08388707,1.491921,13.96575,0.03220908,-0.9960577,-0.06022246,0.05661188,0.2061921,1.002819,13.65435,-0.03461137,0.9963422,-0.0431253,0.06514928,-0.0886972,1.257648,13.67708,0.1384654,0.9435902,0.2448245,-0.1747166
movementData__5.13.2026 9.38.09 AM.csv,3,2026-05-13 09:37:15,0.1342573,1.498861,13.99634,0.01355765,-0.9697648,-0.07713807,0.2311322,0.2297923,0.9882022,13.65617,-0.07560828,0.9805182,-0.1571921,-0.09032282,-0.2683237,1.456311,14.15316,0.1910938,0.3786683,0.4507493,-0.7854416
movementData__5.13.2026 9.38.09 AM.csv,3,2026-05-13 09:37:17,-0.2630085,1.502487,14.67455,0.03712203,-0.9618428,-0.08076929,-0.25876,-0.09405299,1.121277,14.35343,-0.0464267,0.9965389,0.0001020134,0.06895452,-0.4085972,1.406008,14.4266,0.2122233,0.8863629,0.3974889,-0.1064175
movementData__5.13.2026 9.38.09 AM.csv,4,2026-05-13 09:37:22,0.08868589,1.48671,13.95925,0.0355746,-0.9968376,-0.0340251,0.06238198,0.2453355,0.9411162,13.68375,-0.0492311,0.9878582,-0.1266206,0.07536409,-0.09847717,1.173377,13.70492,0.1310163,0.9772857,0.1005918,-0.1327733
movementData__5.13.2026 9.38.09 AM.csv,4,2026-05-13 09:37:24,0.2720377,1.500811,15.70324,0.02372587,-0.9791982,-0.07630106,0.1865106,0.3697667,1.006773,15.39165,-0.08974238,0.9786872,-0.1491731,-0.1089273,-0.1880438,1.371006,15.77532,0.1807805,0.5372095,0.2894023,-0.7713435
movementData__5.13.2026 9.38.09 AM.csv,4,2026-05-13 09:37:26,0.4937542,1.51044,16.22466,0.0301522,-0.9615072,-0.105647,0.25186,0.5958412,1.104568,15.94101,-0.02479358,0.9919657,-0.006211699,-0.123898,0.0681859,1.272097,16.04848,0.2131886,0.8639981,0.06964693,-0.4507852
movementData__5.13.2026 9.38.09 AM.csv,5,2026-05-13 09:37:29,0.03842933,1.497369,14.00946,0.02991391,-0.9829861,-0.09960687,0.1514002,0.203806,1.065947,13.73061,0.04031545,0.998639,-0.02241203,0.02434201,-0.1992393,1.247827,13.7471,0.173205,0.9276586,0.2098352,-0.255771
movementData__5.13.2026 9.38.09 AM.csv,5,2026-05-13 09:37:31,0.4700523,1.504455,14.9283,0.008482155,-0.9589091,-0.09923922,0.2656558,0.5532016,1.104851,14.58197,-0.05183075,0.9791195,-0.06473982,-0.1855999,0.1303673,1.391091,15.2817,0.2501595,0.1190905,0.3050914,-0.9111295
movementData__5.13.2026 9.38.09 AM.csv,5,2026-05-13 09:37:33,0.2593321,1.511256,15.14103,0.01517745,-0.9922925,-0.1027103,0.06764583,0.4217944,1.11967,14.88772,0.05344678,0.9965133,0.05644191,0.03031588,-0.06510189,1.209641,14.94626,0.1522943,0.9244823,0.09169012,-0.3372416
movementData__5.13.2026 9.38.09 AM.csv,6,2026-05-13 09:37:37,0.06420892,1.491836,13.99943,0.02952092,-0.9969999,-0.06831258,-0.02128615,0.238571,1.143985,13.72913,0.07575551,0.993102,0.05888152,0.06739903,-0.08264621,1.312827,13.69274,0.05139143,0.961372,0.2547566,-0.09067506
movementData__5.13.2026 9.38.09 AM.csv,6,2026-05-13 09:37:39,-0.7059712,1.499179,14.96098,0.0293251,-0.9733834,-0.09850083,0.204847,-0.5782565,1.106686,14.64302,-0.02015752,0.9900809,-0.06247476,-0.124219,-1.162,1.329232,15.25078,0.01690874,0.3154109,0.3652961,-0.8756648
movementData__5.13.2026 9.38.09 AM.csv,6,2026-05-13 09:37:41,-0.6078447,1.505921,14.95441,0.0454612,-0.9825382,-0.1027585,-0.1482992,-0.4077561,1.040007,14.72095,-0.02944478,0.9817897,-0.06281164,0.1768521,-0.7889693,1.14281,14.66216,0.150942,0.9883344,0.01701069,-0.01106192
movementData__5.13.2026 9.38.09 AM.csv,7,2026-05-13 09:37:45,0.07230262,1.498373,13.97459,0.03235125,-0.9945046,-0.09906033,0.01005406,0.2633729,1.032096,13.74717,0.01953067,0.9914399,-0.03971994,0.1228327,-0.1123057,1.153149,13.69908,0.1091323,0.983355,0.06745792,-0.128657
movementData__5.13.2026 9.38.09 AM.csv,7,2026-05-13 09:37:47,-1.61823,1.496616,17.44034,0.02238776,-0.9923434,-0.08796536,0.08375846,-1.505399,1.027426,17.19651,0.006619847,0.9906019,-0.11711,-0.07035138,-1.901421,1.222614,17.20434,0.1010923,0.9374352,0.1503811,-0.2972896
movementData__5.13.2026 9.38.09 AM.csv,7,2026-05-13 09:37:49,-2.150162,1.509357,19.08009,-0.04582212,-0.9840505,-0.1716448,-0.009109743,-2.054873,1.121172,18.84381,-0.02498928,0.9993787,-0.02264893,-0.01023996,-2.429117,1.318789,18.26985,0.838909,0.3380234,-0.4145725,0.1005062
movementData__5.13.2026 9.38.09 AM.csv,7,2026-05-13 09:37:51,-2.200634,1.500566,19.0572,0.02760933,-0.9893455,-0.1157036,0.08393957,-1.978731,1.032506,18.86502,0.06620695,0.9837137,-0.1320895,0.1023541,-2.251279,0.8532944,18.82158,0.2640301,0.9074558,-0.2925807,0.145632
movementData__5.13.2026 9.38.09 AM.csv,8,2026-05-13 09:37:55,0.04975727,1.499699,13.97741,0.02005619,-0.9915041,-0.1131672,0.06091405,0.2134343,1.037078,13.74417,0.07998271,0.9894171,-0.1139628,0.04085353,-0.1955891,1.178666,13.65662,0.0909734,0.9719929,0.08462537,-0.1994803
movementData__5.13.2026 9.38.09 AM.csv,8,2026-05-13 09:37:57,-1.494241,1.495422,15.52721,0.03122697,-0.9966335,-0.07076175,-0.0271927,-1.477188,1.068877,15.24891,-0.07539463,0.9678107,-0.1423871,-0.1933497,-1.811475,0.999571,15.37292,0.1980385,0.9256881,-0.2036458,-0.2498214
movementData__5.13.2026 9.38.09 AM.csv,8,2026-05-13 09:37:59,-5.828787,1.460659,14.81072,0.02951301,-0.9143208,-0.08692858,-0.3944489,-5.55717,1.167615,14.6821,-0.06275493,0.9413906,0.03844014,0.3291928,-5.525952,1.113951,14.24527,0.549749,0.7683014,-0.0076437,0.327766
movementData__5.13.2026 9.38.09 AM.csv,8,2026-05-13 09:38:01,-5.73222,1.499308,14.7517,0.04041779,-0.9613363,-0.08828195,-0.2576921,-5.530533,1.054004,14.56967,0.1068319,0.970257,-0.1303333,0.173786,-5.931432,0.6760064,14.55866,0.3824326,0.7690009,-0.4936408,0.1367543
movementData__5.13.2026 9.38.09 AM.csv,9,2026-05-13 09:38:05,0.08864553,1.494957,13.97917,0.05201105,-0.9590014,-0.07290823,-0.2688783,0.3118581,1.054778,13.81184,0.1026411,0.9669878,-0.1212872,0.1992202,0.06585629,1.09474,13.64138,0.09652629,0.9877773,0.03534639,0.1171725
movementData__5.13.2026 9.38.09 AM.csv,9,2026-05-13 09:38:07,-1.776356,1.496882,14.65823,0.01340783,-0.9559237,-0.09179893,0.2785732,-1.722365,1.041508,14.39606,0.04987347,0.9446365,-0.2167633,-0.2412222,-2.173169,1.149589,14.54878,0.06617916,0.8302801,0.03057981,-0.5525579
movementData__5.13.2026 9.38.09 AM.csv,9,2026-05-13 09:38:09,-1.39345,1.513361,15.17392,-0.0308117,-0.9645241,-0.1366783,0.2237474,-1.237575,1.0675,14.92491,0.1160317,0.9832892,-0.1377467,-0.0265474,-1.612431,0.8927426,14.96947,0.4505741,0.7706448,-0.4376883,0.1073242
